縣市區域,站名,已停止營運,不確定是否有快篩服務,官方資料更新日期,資料來源,服務醫院,服務對象或區域,每日人數,服務時間,排隊或預約方法,掛號網址,戶外地點描述,地址,聯絡電話,備註,latitude,longitude,校對者
基隆市,基隆市立醫院院本部快篩站,FALSE,FALSE,,https://www.facebook.com/uchange.keelung/posts/3951007968268064,基隆市立醫院,限基隆市民，有症狀且曾與確診個案足跡時間重疊、但未匡列居家檢疫者,60,週一至週五 8:00-17:00,線上預約，或 02-2428-3844 電洽基隆市衛生局,https://docs.google.com/forms/d/e/1FAIpQLSft4HebyntEu3heH5y1xVGAu2efe_yesLfWO-356RnNp9Nvgw/viewform,,基隆市信義區東信路282號,02-2465-2141,,25.12960999,121.76206,areong
基隆市,三總基隆正榮院區,FALSE,FALSE,,https://udn.com/news/story/7328/5481569,三總基隆正榮院區,限基隆市民，有症狀且曾與確診個案足跡時間重疊、但未匡列居家檢疫者,,,線上預約，或 02-2428-3844 電洽基隆市衛生局,,,基隆市中正區正榮街100號,02-2463-3330,,25.14450918,121.7640893,
基隆市,台灣礦工醫院,FALSE,FALSE,,https://udn.com/news/story/7328/5481569,台灣礦工醫院,限基隆市民，有症狀且曾與確診個案足跡時間重疊、但未匡列居家檢疫者,,,線上預約，或 02-2428-3844 電洽基隆市衛生局,,,基隆市暖暖區源遠路29號,02-2457-9101,,25.10797998,121.73316,
台北市,聯合醫院中興快篩站,FALSE,FALSE,,https://health.gov.taipei/News_Content.aspx?n=416BCB37CFFAC913&s=38E30CDD511F6674,台北市立聯合醫院,與確診個案有接觸史且足跡重疊者,300,每日8:00-24:00,現場,,台北市立聯合醫院中興院區急診外,台北市大同區鄭州路145號,02-2552-3234,,25.05139504,121.5087647,areong
台北市,聯合醫院和平快篩站,FALSE,FALSE,,https://health.gov.taipei/News_Content.aspx?n=416BCB37CFFAC913&s=38E30CDD511F6674,台北市立聯合醫院,與確診個案有接觸史且足跡重疊者,300,每日8:00-24:00,現場,,,台北市中正區中華路二段33號,02-2388-9595,,25.03557999,121.5067,areong
台北市,剝皮寮快篩站,FALSE,FALSE,,https://health.gov.taipei/News_Content.aspx?n=416BCB37CFFAC913&s=38E30CDD511F6674,台北市立聯合醫院,與確診個案有接觸史且足跡重疊者,300,每日8:00-24:00,現場,,剝皮寮歷史街區,台北市萬華區康定路173巷,02-2302-3199,,25.0368274,121.5022022,areong
台北市,聯合醫院仁愛快篩站,FALSE,FALSE,,https://health.gov.taipei/News_Content.aspx?n=416BCB37CFFAC913&s=38E30CDD511F6674,台北市立聯合醫院,,,每日8:00-20:00,,,,台北市大安區仁愛路四段10號,,,25.03750341,121.5451638,
台北市,聯合醫院陽明快篩站,FALSE,FALSE,,https://health.gov.taipei/News_Content.aspx?n=416BCB37CFFAC913&s=38E30CDD511F6674,台北市立聯合醫院,,,每日8:00-20:00,,,,台北市士林區雨聲街105號,,,25.10513864,121.5320739,
台北市,聯合醫院忠孝快篩站,FALSE,FALSE,,https://health.gov.taipei/News_Content.aspx?n=416BCB37CFFAC913&s=38E30CDD511F6674,台北市立聯合醫院,,,每日8:00-20:00,,,,台北市南港區同德路87號,,,25.0466694,121.5860487,
台北市,青草廣場快篩站,TRUE,FALSE,,https://www.facebook.com/taipei33/posts/322904365870524,三軍總醫院,與確診個案有接觸史且足跡重疊者,200,每日8:00-24:00,5/23後停篩,,,台北市萬華區艋舺大道與西園路路口,,5/23後停篩,25.03302416,121.5005919,
